Total train cost variation,Avg train cost variation
99.8671,0.0665781
82.0881,0.0547254
77.3205,0.051547
74.9524,0.0499683
73.4532,0.0489688
72.3762,0.0482508
71.5625,0.0477083
70.8995,0.0472663
70.3238,0.0468826
69.8479,0.0465652
69.3949,0.0462633
69.0041,0.0460027
68.6454,0.0457636
68.309,0.0455393
67.9994,0.0453329
67.7112,0.0451408
67.454,0.0449694
67.2022,0.0448015
66.975,0.04465
66.7532,0.0445021
66.5358,0.0443572
66.3288,0.0442192
66.1395,0.044093
65.9737,0.0439825
65.8178,0.0438785
65.6683,0.0437789
65.5234,0.0436823
65.3805,0.043587
65.246,0.0434973
65.1379,0.0434253
65.0485,0.0433657
64.968,0.043312
64.9014,0.0432676
64.832,0.0432213
64.756,0.0431707
64.6863,0.0431242
64.6125,0.043075
64.545,0.04303
64.4705,0.0429803
64.405,0.0429367
64.3406,0.0428937
64.2721,0.0428481
64.209,0.042806
64.1479,0.0427653
64.078,0.0427187
64.0092,0.0426728
63.9462,0.0426308
63.8751,0.0425834
63.8108,0.0425405
63.7477,0.0424985
