Total train cost variation,Avg train cost variation
138.538,0.0923587
97.8109,0.0652073
90.6595,0.0604397
87.2372,0.0581581
85.144,0.0567627
83.7361,0.0558241
82.7112,0.0551408
81.9016,0.0546011
81.2153,0.0541435
80.5938,0.0537292
80.0303,0.0533535
79.4864,0.0529909
78.9701,0.0526468
78.4594,0.0523062
77.9759,0.0519839
77.5035,0.051669
77.0488,0.0513658
76.5847,0.0510565
76.0951,0.0507301
75.6371,0.0504247
75.2494,0.0501663
74.9225,0.0499483
74.636,0.0497573
74.3803,0.0495869
74.1661,0.0494441
74.0094,0.0493396
73.9027,0.0492685
73.8292,0.0492195
73.7754,0.0491836
73.7308,0.0491538
73.6858,0.0491239
73.6382,0.0490921
73.5863,0.0490576
73.5256,0.0490171
73.4572,0.0489714
73.3819,0.0489213
73.3031,0.0488688
73.2225,0.048815
73.144,0.0487627
73.0669,0.0487113
72.99,0.04866
72.9098,0.0486066
72.8243,0.0485495
72.7309,0.0484872
72.6301,0.0484201
72.524,0.0483493
72.4171,0.0482781
72.318,0.048212
72.2342,0.0481561
72.1645,0.0481097
